log Kd;compound;Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges ;negative charges ;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100)  ;estimated log KOC  (L/kg);surface area (m2/g);PZC;O wt%;delta_PZCpH
6.82E+00;Ditolylguanidine;6.64E+06;2.24;239.3;1;0;-3.92;2;2.21;4.17;1140;9.5;4.7;2.6
6.36E+00;Benzotriazole;2.30E+06;1.29;119.127;0;0;-1.21;1;0.864;2.17;1140;9.5;4.7;2.6
6.06E+00;Oxypurinol;1.15E+06;-0.64;152.11;0;1;-1.45;0;0.784;1;1140;9.5;4.7;2.6
5.95E+00;N-(3-(Dimethylamino)propyl)methacrylamide;8.96E+05;-1.85;170.25;1;0;1.56;0;1.85;1.61;1140;9.5;4.7;2.6
5.88E+00;Primidone;7.66E+05;1.12;218.26;0;0;-1.93;1;1.77;2.14;1140;9.5;4.7;2.6
6.01E+00;Dicyclohexyl sulfosuccinate;1.00E+06;0.42;362.44;0;1;-2.92;0;2.8;1.93;1140;9.5;4.7;2.6
6.02E+00;Benzyltrimethylammonium;1.04E+06;-2.25;150.24;1;0;0.83;1;1.65;2.4;1140;9.5;4.7;2.6
5.88E+00;Saccharine;7.67E+05;-0.49;183.18;0;1;0.24;1;1.18;1;1140;9.5;4.7;2.6
5.73E+00;Dimethylbenzenesulfonic acid;5.39E+05;-0.2;186.22;0;1;0.08;1;1.45;1.43;1140;9.5;4.7;2.6
5.36E+00;Melamine;2.30E+05;-0.59;126.12;0;0;-1.69;0;0.76;1.51;1140;9.5;4.7;2.6
5.70E+00;Valsartan acid (2? -(2H-tetrazol-5-yl)-[1,1? -biphenyl]-4-carboxylic acid);5.06E+05;-0.93;266.25;0;1;-0.42;2;1.88;2.86;1140;9.5;4.7;2.6
5.49E+00;p-Toluenesulfonic acid;3.07E+05;-0.71;172.2;0;1;0.37;1;1.28;1.21;1140;9.5;4.7;2.6
5.12E+00;Adamantan-1-amine;1.33E+05;-1.43;151.25;1;0;-2.17;0;1.42;3.12;1140;9.5;4.7;2.6
5.18E+00;Acesulfame;1.52E+05;-1.49;163.15;0;1;1.22;0;0.976;0.623;1140;9.5;4.7;2.6
4.87E+00;2-Acrylamido-2-methyl-1-propane sulfonic acid;7.33E+04;0.06;207.24;0;0;-1.47;0;1.64;1;1140;9.5;4.7;2.6
5.42E+00;Diatrizoic acid;2.66E+05;-0.62;613.91;0;1;-3.82;1;2.34;1;1140;9.5;4.7;2.6
4.24E+00;Acesulfame;1.74E+04;-1.49;163.15;0;1;1.22;0;0.976;0.623;1030;8.1;1.8;1.2
4.93E+00;Adamantan-1-amine;8.57E+04;-1.43;151.25;1;0;-2.17;0;1.42;3.12;1030;8.1;1.8;1.2
5.42E+00;Benzotriazole;2.65E+05;1.29;119.127;0;0;-1.21;1;0.864;2.17;1030;8.1;1.8;1.2
5.39E+00;Carbamazepine;2.44E+05;2.77;236.3;0;0;-3.79;2;1.87;3.12;1030;8.1;1.8;1.2
5.39E+00;Dimethylbenzenesulfonic acid;2.44E+05;-0.2;186.22;0;1;0.08;1;1.45;1.43;1030;8.1;1.8;1.2
4.64E+00;Formylaminoantipyrine;4.39E+04;0.1;231.26;0;0;-1.37;1;1.78;1.06;1030;8.1;1.8;1.2
4.11E+00;Gabapentin;1.28E+04;-1.27;171.24;1;1;-1.12;0;1.44;1.77;1030;8.1;1.8;1.2
4.05E+00;4-Hydroxy-1-(2-hydroxyethyl)-2,2,6,6,-tetramethylpiperidine;1.11E+04;-2.32;201.31;1;0;1.64;0;2.06;1;1030;8.1;1.8;1.2
5.53E+00;Melamine;3.41E+05;-0.59;126.12;0;0;-1.69;0;0.76;1.51;1030;8.1;1.8;1.2
5.35E+00;Primidone;2.26E+05;1.12;218.26;0;0;-1.93;1;1.77;2.14;1030;8.1;1.8;1.2
4.89E+00;Sulfamethoxazole;7.78E+04;0.14;253.28;0;1;-1.03;1;1.72;2.41;1030;8.1;1.8;1.2
6.21E+00;1,3-Diphenylguanidine;1.63E+06;1.03;211.268;1;0;-3.6;2;1.72;3.22;1260;6.3;3.9;-0.6
5.52E+00;1H-Benzotriazole;3.32E+05;1.29;119.127;0;0;-1.21;1;0.864;2.17;1260;6.3;3.9;-0.6
4.75E+00;2-Benzothiazolesulfonic acid;5.62E+04;-0.4;215.24;0;1;-2.37;1;1.31;1.78;1260;6.3;3.9;-0.6
5.90E+00;2-Naphthalenesulfonic acid;7.89E+05;-0.23;208.23;0;1;-3.01;2;1.425;2.04;1260;6.3;3.9;-0.6
5.95E+00;4-Hydroxyquinoline;8.81E+05;1.83;145.161;0;0;-1.55;2;1.103;3.31;1260;6.3;3.9;-0.6
5.13E+00;4-Nitrophenol;1.35E+05;1.35;139.11;0;1;-1.43;1;0.949;2.46;1260;6.3;3.9;-0.6
7.33E+00;7-(Ethylamino)-4-methylcoumarin;2.15E+07;1.91;203.24;1;0;-3.27;2;1.58;2.32;1260;6.3;3.9;-0.6
5.16E+00;Acesulfame;1.46E+05;-1.49;163.15;0;1;1.22;0;0.976;0.62;1260;6.3;3.9;-0.6
7.41E+00;Carbendazim;2.57E+07;1.8;191.19;1;0;-2.65;1;1.36;2.6;1260;6.3;3.9;-0.6
5.31E+00;Ciprofloxacin;2.02E+05;-0.86;331.347;1;1;-2.27;1;2.3;1.55;1260;6.3;3.9;-0.6
3.37E+00;Cyclohexylamine;2.32E+03;-1.72;99.177;1;0;1.03;0;0.945;2.16;1260;6.3;3.9;-0.6
5.67E+00;Diethylphthalate;4.68E+05;2.69;222.24;0;0;-2.72;1;1.71;2.02;1260;6.3;3.9;-0.6
4.76E+00;Gabapentin;5.73E+04;-1.27;171.24;1;1;-1.12;0;1.44;1.77;1260;6.3;3.9;-0.6
4.92E+00;Guanylurea;8.36E+04;-3.93;102.097;1;0;2.28;0;0.762;1.8;1260;6.3;3.9;-0.6
5.84E+00;Mecoprop;6.89E+05;-0.25;214.65;0;1;-2.95;1;1.54;1.68;1260;6.3;3.9;-0.6
5.67E+00;Pipamperone;4.64E+05;0.17;375.48;1;0;-1.45;1;2.96;3.95;1260;6.3;3.9;-0.6
5.77E+00;Sulfamethoxazole;5.93E+05;0.14;253.28;0;1;-1.03;1;1.72;2.41;1260;6.3;3.9;-0.6
4.13E+00;Tetraethylammonium;1.35E+04;-2.54;130.25;1;0;0.45;0;1.36;1.96;1260;6.3;3.9;-0.6
5.41E+00;Tramadol;2.59E+05;0.24;263.38;1;0;-0.16;1;2.23;2.69;1260;6.3;3.9;-0.6
4.33E+00;Triethylphosphate;2.14E+04;1.18;182.156;0;0;-1.21;0;1.39;1.81;1260;6.3;3.9;-0.6
6.19E+00;1,3-Diphenylguanidine;1.55E+06;1.03;211.268;1;0;-3.6;2;1.72;3.22;1255;9.5;1.4;2.6
5.21E+00;1H-Benzotriazole;1.64E+05;1.29;119.127;0;0;-1.21;1;0.864;2.17;1255;9.5;1.4;2.6
5.20E+00;2-Benzothiazolesulfonic acid;1.60E+05;-0.4;215.24;0;1;-2.37;1;1.31;1.78;1255;9.5;1.4;2.6
6.15E+00;2-Naphthalenesulfonic acid;1.41E+06;-0.23;208.23;0;1;-3.01;2;1.425;2.04;1255;9.5;1.4;2.6
5.78E+00;4-Hydroxyquinoline;6.05E+05;1.83;145.161;0;0;-1.55;2;1.103;3.31;1255;9.5;1.4;2.6
5.31E+00;4-Nitrophenol;2.05E+05;1.35;139.11;0;1;-1.43;1;0.949;2.46;1255;9.5;1.4;2.6
5.40E+00;Acesulfame;2.50E+05;-1.49;163.15;0;1;1.22;0;0.976;0.62;1255;9.5;1.4;2.6
6.49E+00;Carbendazim;3.08E+06;1.8;191.19;1;0;-2.65;1;1.36;2.6;1255;9.5;1.4;2.6
5.74E+00;Ciprofloxacin;5.49E+05;-0.86;331.347;1;1;-2.27;1;2.3;1.55;1255;9.5;1.4;2.6
3.56E+00;Cyclohexylamine;3.59E+03;-1.72;99.177;1;0;1.03;0;0.945;2.16;1255;9.5;1.4;2.6
5.81E+00;Diethylphthalate;6.50E+05;2.69;222.24;0;0;-2.72;1;1.71;2.02;1255;9.5;1.4;2.6
4.68E+00;Gabapentin;4.82E+04;-1.27;171.24;1;1;-1.12;0;1.44;1.77;1255;9.5;1.4;2.6
5.18E+00;Guanylurea;1.52E+05;-3.93;102.097;1;0;2.28;0;0.762;1.8;1255;9.5;1.4;2.6
6.16E+00;Mecoprop;1.46E+06;-0.25;214.65;0;1;-2.95;1;1.54;1.68;1255;9.5;1.4;2.6
7.21E+00;Pipamperone;1.63E+07;0.17;375.48;1;0;-1.45;1;2.96;3.95;1255;9.5;1.4;2.6
6.20E+00;Sulfamethoxazole;1.58E+06;0.14;253.28;0;1;-1.03;1;1.72;2.41;1255;9.5;1.4;2.6
3.61E+00;Tetraethylammonium;4.03E+03;-2.54;130.25;1;0;0.45;0;1.36;1.96;1255;9.5;1.4;2.6
6.53E+00;Tramadol;3.41E+06;0.24;263.38;1;0;-0.16;1;2.23;2.69;1255;9.5;1.4;2.6
5.36E+00;Triethylphosphate;2.27E+05;1.18;182.156;0;0;-1.21;0;1.39;1.81;1255;9.5;1.4;2.6
5.73E+00;1,3-Diphenylguanidine;5.35E+05;1.03;211.268;1;0;-3.6;2;1.72;3.22;1200;2.7;9.2;-4.2
4.64E+00;1H-Benzotriazole;4.35E+04;1.29;119.127;0;0;-1.21;1;0.864;2.17;1200;2.7;9.2;-4.2
3.82E+00;2-Benzothiazolesulfonic acid;6.64E+03;-0.4;215.24;0;1;-2.37;1;1.31;1.78;1200;2.7;9.2;-4.2
5.09E+00;2-Naphthalenesulfonic acid;1.23E+05;-0.23;208.23;0;1;-3.01;2;1.43;2.04;1200;2.7;9.2;-4.2
