log Kd;compound;Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges ;negative charges ;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100)  ;estimated log KOC  (L/kg);surface area (m2/g);PZC;O wt%;delta_PZCpH
4.84E+00;diclofenac;6.94E+04;1.38;296.2;0;1;-1.3;2;2.07;2.66;993;7.6;1.3;0.4
4.84E+00;diclofenac;6.98E+04;1.38;296.2;0;1;-1.3;2;2.07;2.66;945;6.6;1.5;-0.6
4.84E+00;diclofenac;6.96E+04;1.38;296.2;0;1;-1.3;2;2.07;2.66;982;6.4;2.9;-0.8
4.28E+00;diatrizoic acid;1.91E+04;-0.62;613.91;0;1;-3.82;1;2.34;1;1054;7.6;0.6;0.4
4.32E+00;diatrizoic acid;2.08E+04;-0.62;613.91;0;1;-3.82;1;2.34;1;1003;6.7;0.57;-0.5
4.26E+00;diatrizoic acid;1.84E+04;-0.62;613.91;0;1;-3.82;1;2.34;1;993;7.6;1.3;0.4
4.24E+00;diatrizoic acid;1.74E+04;-0.62;613.91;0;1;-3.82;1;2.34;1;945;6.6;1.5;-0.6
4.33E+00;diatrizoic acid;2.15E+04;-0.62;613.91;0;1;-3.82;1;2.34;1;1047;6.7;1.65;-0.5
4.29E+00;diatrizoic acid;1.97E+04;-0.62;613.91;0;1;-3.82;1;2.34;1;982;6.4;2.9;-0.8
4.81E+00;primidone;6.41E+04;1.12;218.26;0;0;-1.93;1;1.77;2.14;1054;7.6;0.6;0.4
4.82E+00;primidone;6.57E+04;1.12;218.26;0;0;-1.93;1;1.77;2.14;1003;6.7;0.57;-0.5
4.80E+00;primidone;6.34E+04;1.12;218.26;0;0;-1.93;1;1.77;2.14;993;7.6;1.3;0.4
4.82E+00;primidone;6.59E+04;1.12;218.26;0;0;-1.93;1;1.77;2.14;945;6.6;1.5;-0.6
4.83E+00;primidone;6.80E+04;1.12;218.26;0;0;-1.93;1;1.77;2.14;1047;6.7;1.65;-0.5
4.78E+00;primidone;6.05E+04;1.12;218.26;0;0;-1.93;1;1.77;2.14;982;6.4;2.9;-0.8
4.66E+00;saccharin;4.61E+04;-0.49;183.18;0;1;0.24;1;1.18;1;1054;7.6;0.6;0.4
4.68E+00;saccharin;4.76E+04;-0.49;183.18;0;1;0.24;1;1.18;1;1003;6.7;0.57;-0.5
4.67E+00;saccharin;4.66E+04;-0.49;183.18;0;1;0.24;1;1.18;1;993;7.6;1.3;0.4
4.68E+00;saccharin;4.77E+04;-0.49;183.18;0;1;0.24;1;1.18;1;945;6.6;1.5;-0.6
4.68E+00;saccharin;4.80E+04;-0.49;183.18;0;1;0.24;1;1.18;1;1047;6.7;1.65;-0.5
4.63E+00;saccharin;4.27E+04;-0.49;183.18;0;1;0.24;1;1.18;1;982;6.4;2.9;-0.8
4.73E+00;sulfamethoxazole;5.34E+04;0.14;253.28;0;1;-1.03;1;1.72;2.41;1054;7.6;0.6;0.4
4.72E+00;sulfamethoxazole;5.24E+04;0.14;253.28;0;1;-1.03;1;1.72;2.41;1003;6.7;0.57;-0.5
4.72E+00;sulfamethoxazole;5.30E+04;0.14;253.28;0;1;-1.03;1;1.72;2.41;993;7.6;1.3;0.4
4.73E+00;sulfamethoxazole;5.31E+04;0.14;253.28;0;1;-1.03;1;1.72;2.41;945;6.6;1.5;-0.6
4.74E+00;sulfamethoxazole;5.43E+04;0.14;253.28;0;1;-1.03;1;1.72;2.41;1047;6.7;1.65;-0.5
4.68E+00;sulfamethoxazole;4.75E+04;0.14;253.28;0;1;-1.03;1;1.72;2.41;982;6.4;2.9;-0.8
4.79E+00;valsartan acid;6.12E+04;-0.93;266.25;0;1;-0.42;2;1.88;2.86;1054;7.6;0.6;0.4
4.80E+00;valsartan acid;6.31E+04;-0.93;266.25;0;1;-0.42;2;1.88;2.86;1003;6.7;0.57;-0.5
4.78E+00;valsartan acid;6.04E+04;-0.93;266.25;0;1;-0.42;2;1.88;2.86;993;7.6;1.3;0.4
4.77E+00;valsartan acid;5.95E+04;-0.93;266.25;0;1;-0.42;2;1.88;2.86;945;6.6;1.5;-0.6
4.81E+00;valsartan acid;6.47E+04;-0.93;266.25;0;1;-0.42;2;1.88;2.86;1047;6.7;1.65;-0.5
4.78E+00;valsartan acid;5.99E+04;-0.93;266.25;0;1;-0.42;2;1.88;2.86;982;6.4;2.9;-0.8
