log Kd (L/kg),log D (L/kg),molecular weight (g/mol),positive charges,negative charges,Log S (mol/L) at pH 7,number of aromatic rings,molecular volume  (cm3/mol/100),estimated log KOC  (L/kg),surface area (m2/g),O wt%,delta_PZCpH,PZC
4.336459733848529,0.88,364.06,0,1,-5.42,0,1.4,3.77,810.0,,-0.9000000000000004,6.0
4.897956810006952,0.251,299.1,0,1,-3.36,0,1.1711,2.26,810.0,,-0.9000000000000004,6.0
5.5153094239045135,1.65,400.11,0,1,-5.0,0,1.52,3.3,810.0,,-0.9000000000000004,6.0
3.82020145948564,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1002.0,,0.8999999999999995,7.8
4.398113691730503,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1002.0,,0.8999999999999995,7.8
4.230448921378274,0.18,314.05,0,1,-4.59,0,1.22,2.45,1002.0,,0.8999999999999995,7.8
4.220108088040055,0.88,364.06,0,1,-5.42,0,1.4,3.77,1002.0,,0.8999999999999995,7.8
4.589949601325708,1.65,400.11,0,1,-5.0,0,1.52,3.3,1002.0,,0.8999999999999995,7.8
4.232996110392154,-0.54,264.05,0,1,-3.72,0,1.05,2.43,992.0,,2.799999999999999,9.7
4.574031267727719,0.251,299.1,0,1,-3.36,0,1.1711,2.26,992.0,,2.799999999999999,9.7
4.59162103821332,0.18,314.05,0,1,-4.59,0,1.22,2.45,992.0,,2.799999999999999,9.7
4.606381365110605,0.88,364.06,0,1,-5.42,0,1.4,3.77,992.0,,2.799999999999999,9.7
4.8909795969896885,1.65,400.11,0,1,-5.0,0,1.52,3.3,992.0,,2.799999999999999,9.7
4.008600171761918,-0.54,264.05,0,1,-3.72,0,1.05,2.43,840.0,,2.799999999999999,9.7
4.503790683057181,0.251,299.1,0,1,-3.36,0,1.1711,2.26,840.0,,2.799999999999999,9.7
4.309630167425898,0.18,314.05,0,1,-4.59,0,1.22,2.45,840.0,,2.799999999999999,9.7
4.385606273598312,0.88,364.06,0,1,-5.42,0,1.4,3.77,840.0,,2.799999999999999,9.7
4.770115294787102,1.65,400.11,0,1,-5.0,0,1.52,3.3,840.0,,2.799999999999999,9.7
4.143014800254095,-0.54,264.05,0,1,-3.72,0,1.05,2.43,897.0,,2.9000000000000004,9.8
4.509202522331103,0.251,299.1,0,1,-3.36,0,1.1711,2.26,897.0,,2.9000000000000004,9.8
4.363611979892144,0.18,314.05,0,1,-4.59,0,1.22,2.45,897.0,,2.9000000000000004,9.8
4.4996870826184034,0.88,364.06,0,1,-5.42,0,1.4,3.77,897.0,,2.9000000000000004,9.8
4.815577748324268,1.65,400.11,0,1,-5.0,0,1.52,3.3,897.0,,2.9000000000000004,9.8
5.357934847000454,-0.54,264.05,0,1,-3.72,0,1.05,2.43,958.0,1.44,2.91,9.81
6.161368002234975,1.65,400.11,0,1,-5.0,0,1.52,3.3,958.0,1.44,2.91,9.81
5.84323277809801,0.88,364.06,0,1,-5.42,0,1.4,3.77,958.0,1.44,2.91,9.81
5.631443769013172,0.18,314.05,0,1,-4.59,0,1.22,2.45,958.0,1.44,2.91,9.81
5.465382851448418,-4.5,290.06,0,1,-3.39,0,1.6,2.96,958.0,1.44,2.91,9.81
5.848189116991398,0.251,299.1,0,1,-3.36,0,1.1711,2.26,958.0,1.44,2.91,9.81
4.951337518795918,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1004.0,3.5,-0.9500000000000002,5.95
