log Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges;negative charges;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100);estimated log KOC  (L/kg);surface area (m2/g);O wt%;delta_PZCpH
4.97E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1003;;2.6
4.24E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;948;;-0.2
4.46E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1003;;2.6
3.90E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;948;;-0.2
4.30E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1003;;2.6
3.87E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;948;;-0.2
4.70E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1003;;2.6
4.11E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;948;;-0.2
4.03E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1003;;2.6
3.38E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;948;;-0.2
3.44E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1003;;2.6
3.41E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;948;;-0.2
4.37E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;1054;0.6;0.7
4.57E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;1003;0.57;-0.2
4.61E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;993;1.3;0.7
4.52E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;945;1.5;-0.3
3.84E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;1047;1.65;-0.2
3.63E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;982;2.9;-0.5
4.87E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1054;0.6;0.7
5.12E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1003;0.57;-0.2
5.11E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;993;1.3;0.7
5.00E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;945;1.5;-0.3
4.34E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1047;1.65;-0.2
3.89E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;982;2.9;-0.5
5.02E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1054;0.6;0.7
5.11E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1003;0.57;-0.2
5.10E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;993;1.3;0.7
5.07E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;945;1.5;-0.3
4.68E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1047;1.65;-0.2
4.65E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;982;2.9;-0.5
4.23E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;1054;0.6;0.7
4.41E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;1003;0.57;-0.2
4.34E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;993;1.3;0.7
4.31E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;945;1.5;-0.3
4.16E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;1047;1.65;-0.2
4.01E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;982;2.9;-0.5
4.92E+00;0.47;330.05;0;1;-4.82;0;1.28;2.075;1054;0.6;0.7
5.11E+00;0.47;330.05;0;1;-4.82;0;1.28;2.075;1003;0.57;-0.2
5.03E+00;0.47;330.05;0;1;-4.82;0;1.28;2.075;993;1.3;0.7
4.99E+00;0.47;330.05;0;1;-4.82;0;1.28;2.075;945;1.5;-0.3
4.60E+00;0.47;330.05;0;1;-4.82;0;1.28;2.075;1047;1.65;-0.2
3.85E+00;0.47;330.05;0;1;-4.82;0;1.28;2.075;982;2.9;-0.5
3.11E+00;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1054;0.6;0.7
3.16E+00;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1003;0.57;-0.2
2.90E+00;-3.8;150.08;0;1;-0.61;0;0.642;0.352;993;1.3;0.7
3.26E+00;-3.8;150.08;0;1;-0.61;0;0.642;0.352;945;1.5;-0.3
2.51E+00;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1047;1.65;-0.2
2.68E+00;-3.8;150.08;0;1;-0.61;0;0.642;0.352;982;2.9;-0.5
4.17E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1054;0.6;0.7
4.23E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1003;0.57;-0.2
4.22E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;993;1.3;0.7
4.20E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;945;1.5;-0.3
3.88E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1047;1.65;-0.2
3.79E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;982;2.9;-0.5
4.69E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1054;0.6;0.7
4.70E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1003;0.57;-0.2
4.69E+00;1.65;400.11;0;1;-5;0;1.52;3.3;993;1.3;0.7
4.68E+00;1.65;400.11;0;1;-5;0;1.52;3.3;945;1.5;-0.3
4.64E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1047;1.65;-0.2
4.52E+00;1.65;400.11;0;1;-5;0;1.52;3.3;982;2.9;-0.5
5.88E+00;-1.64;239.2;1;0;1.2;1;2.08;1.52;2142;9.19;-2.1
5.73E+00;-1.64;239.2;1;0;1.2;1;2.08;1.52;1757;8.42;-0.7
5.30E+00;0.14;253.28;0;1;-1.03;1;1.72;2.41;2142;9.19;-2.1
4.80E+00;0.14;253.28;0;1;-1.03;1;1.72;2.41;1757;8.42;-0.7
5.98E+00;0.92;290.3;1;0;-2.42;1;2.21;2.86;2142;9.19;-2.1
5.90E+00;0.92;290.3;1;0;-2.42;1;2.21;2.86;1757;8.42;-0.7
6.00E+00;0.74;277.4;1;0;-0.57;1;2.62;2.94;2142;9.19;-2.1
5.92E+00;0.74;277.4;1;0;-0.57;1;2.62;2.94;1757;8.42;-0.7
6.05E+00;0.59;263.4;1;0;-0.31;1;2.36;3.24;2142;9.19;-2.1
5.96E+00;0.59;263.4;1;0;-0.31;1;2.36;3.24;1757;8.42;-0.7
5.68E+00;-0.8;361.4;0;0;-2.21;1;2.44;1.09;2142;9.19;-2.1
5.85E+00;-0.8;361.4;0;0;-2.21;1;2.44;1.09;1757;8.42;-0.7
6.24E+00;-0.47;267.3;1;0;0.3;1;2.59;2.06;2142;9.19;-2.1
6.15E+00;-0.47;267.3;1;0;0.3;1;2.59;2.06;1757;8.42;-0.7
6.03E+00;-1.24;267.3;0;1;-1.47;1;3.3;1.23;2142;9.19;-2.1
5.86E+00;-1.24;267.3;0;1;-1.47;1;3.3;1.23;1757;8.42;-0.7
5.16E+00;0.72;254.3;0;1;-0.85;2;2.12;2.59;2142;9.19;-2.1
4.76E+00;0.72;254.3;0;1;-0.85;2;2.12;2.59;1757;8.42;-0.7
5.09E+00;-0.44;791.1;0;0;-2.24;1;3.64;1;2142;9.19;-2.1
4.77E+00;-0.44;791.1;0;0;-2.24;1;3.64;1;1757;8.42;-0.7
